Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
1,Agriculture, Kisan Drone Operator,Free,00:21 hours,Any,Any,NA,Hindi,A Kisan Drone Operator/pilot is  responsible for operating and  rendering the specific service  using the drone and relevant  technologies for agricultural and  allied activities. The individuals  operating the drone collect and  analyse different types of data for  enhancing productivity and  profitability while ensuring  sustainability and protection of the  land resources and where  applicable deploy the drone to undertake specific activities like  spray of Plant protection  chemicals / fertilizer or obtain  ground data for other related  activities. The individual is also  responsible for carrying out  regular maintenance of drone and  relevant equipment's.,https://www.skillindiadigital.gov.in/courses/detail/32d86c56-efc6-4c33-9c65-17901e296f8e,null,null,null,null,null,null,null,null,null,,null
2,Automotive,Electric Vehicle Service Lead Technician ,Free,08:39 hours,18,I.T.I (Mechanic Motor Vehicle) OR I.T.I (Mechanic Auto Electrical and Electronics) OR Certificate-NSQF (Four Wheeler Service Technician/Automotive Electrician Level 4),1 Year of experience in Automotive Service And LMV Driving Licence,English,"An electric vehicle service lead technician is responsible for diagnosis and specialized repairs of mechanical, electrical and electronic faults in electric vehicles. The course is designed to help the learner understand and work on these areas.",https://www.skillindiadigital.gov.in/courses/detail/cb91c0e8-9af8-4ae2-b5e0-c1b6d5314e93,null,null,null,null,null,null,null,null,null,,null
3,Automotive,Bicycle Mechanic : Premium Electric Cycle,Free,60:00 hours,14,8th Class pass with 1 year of relevant experience OR 8th Class with ITI OR 10th Class pass,8th Class pass with 1 year of relevant experience OR 8th Class with ITI OR 10th Class pass,Hindi,"The incumbent in the job role is responsible for the assembly, repair and maintenance of bicycles and e-bikes along with identifying problems and providing optimal solution to the customer.",https://www.skillindiadigital.gov.in/courses/detail/5a39b856-07f9-4bb7-b896-545c93c6eb6b,null,null,null,null,null,null,null,null,null,,null
4,Automotive,Welding Technician - Hindi,Free,4:28 hours,Any,Any,NA,Hindi,"This role is responsible for joining various types of metallic frames, structures, jigs, plates, sheets etc using heating and melting process created through electrical power and gaseous discharge, maintaining process parameters, conducting quality checks on output product and maintaining a safe & healthy working environment on the shop floor.",https://www.skillindiadigital.gov.in/courses/detail/f7ea9758-71bb-4500-b910-631e47e4f010,null,null,null,null,null,null,null,null,null,,null
5,Automotive,Welding Technician,Free,04:28 hours,Any,Any,NA,English,"The individual is primarily involved in all robotic and manual welding operations performed in automotive manufacturing. They use various types of welding processes such as TIG, MIG, SMAW welding etc. They support the welding technician in activities such as inspection of equipments condition, welding, gauging, testing and inspection of welded work pieces.",https://www.skillindiadigital.gov.in/courses/detail/4930b7e8-1d6b-4116-9f20-dbd05219b93c,null,null,null,null,null,null,null,null,null,,null
6,Automotive,Welding Assistant (TIG) - Hindi,Free,6:33 hours,Any,Any,NA,Hindi,"The assistant role will be involved in performing small time routine jobs like cleaning, washing, fetching and holding tool for the operators, loading and unloading of work pieces on the welding assembly , bringing raw material and spare parts from the stores etc.",https://www.skillindiadigital.gov.in/courses/detail/da030c9b-5a99-4de8-8679-686e37a93ead,null,null,null,null,null,null,null,null,null,,null
7,Automotive,Welding Assistant (TIG),Free,06:33 hours,Any,Any,NA,English,"The individual in this role supports the Automotive Welding Machine Operator during preparation for welding work such as bringing raw material and tools, welding activities such as machine setup, aligning workpiece, holding tools etc. and post-welding activities such as cleaning and maintenance of machine and workarea.",https://www.skillindiadigital.gov.in/courses/detail/0b164a40-bda7-4b5f-9717-88c3dbc68df6,null,null,null,null,null,null,null,null,null,,null
8,Automotive,Welding Assistant (ARC),Free,4:59 hours,Any,Any,NA,English,"This course is aimed at training candidates for the job role of 'Welding Assistant (ARC)', in the 'Automotive' industry. It aims at building the following key competencies in learners by the end of the course: Describe the welding process. Use the parts and accessories of a welding machine for welding. Carry out Shielded Metal Arc Welding (SMAW). Use different tools for welding. Identify the different kinds of hazards a welder faces. State the properties of metals. Explain the use of electricity in welding. Perform different types of weld. Identify the different types of join. Describe the different welding positions. Prevent welding defects.",https://www.skillindiadigital.gov.in/courses/detail/56075317-4ee7-47e9-92d6-f20467f5557d,null,null,null,null,null,null,null,null,null,,null
9,Automotive,CNC Operator Machining Technician (Milling),Free,01:42 hours,Any,Any,NA,English,"The individual in this role supports the machining technician in various machining and inspection work on CNC/conventional machines such as quality verification, minor repair work, change of worn out tools, resetting of the tools, machine programming and de-burring.",https://www.skillindiadigital.gov.in/courses/detail/517590b2-6476-488b-bbc9-6af9e2794f77,null,null,null,null,null,null,null,null,null,,null
10,Automotive,CNC Operator Machining Technician (Lathe),Free,01:28 hours,Any,Any,NA,English,"The individual in this role supports the machining technician in various machining and inspection work on CNC/conventional machines such as quality verification, minor repair work, change of worn out tools, resetting of the tools, machine programming and de-burring.",https://www.skillindiadigital.gov.in/courses/detail/64824a12-c9c4-4481-84ad-7aa857207d70,null,null,null,null,null,null,null,null,null,,null
11,Automotive,CNC Operator Machining (Lathe) - Hindi,Free,1:28 hours,Any,Any,NA,Hindi,"A CNC Operator should be able to comprehend the component requirements, machining the part as per work instructions/ standard operating procedures. This course seeks to train candidates for the job role of Machining Technician (Lathe) in the manufacturing industry. It aims at building the following key competencies in learners by the end of the course: Read and understand engineering drawings of simple parts and CNC part programs. Develop part programs for simple components. Produce parts or components in the auto cycle. Adjust the tool or offset data to correct the deviations in part dimensions. Change the cutting tools or carbide insets after full wear. Perform day to day maintenance of the machine",https://www.skillindiadigital.gov.in/courses/detail/9bf13e49-922f-4594-8593-f817893eadb5,null,null,null,null,null,null,null,null,null,,null
12,Automotive,CNC Operator / Machining Technician (Milling) - Hindi ,Free,1:42 hours,Any,Any,NA,Hindi,This course seeks to train candidates for the job role of 'Machining Technician (Milling)' in the manufacturing industry. It aims at building the following key competencies in learners by the end of the course: Read and understand engineering drawings of simple parts and CNC part programs. Develop part programs for simple components. Produce parts or components in auto cycle. Adjust the tool/cutters or offset data to correct the deviations in part dimensions. Change the cutters/ tools or carbide insets after full wear. Perform preventive maintenance of the machine.,https://www.skillindiadigital.gov.in/courses/detail/0c18a3c8-8ae6-42e4-a72c-09584dd6f2ec,null,null,null,null,null,null,null,null,null,,null
13,IT-ITeS,"Add decision logic to your code using `if`, `else`, and `else if` statements in C#",Free,00:56 hours,Any,Any,Any,English,Learn to branch your code's execution path by evaluating Boolean expressions.,https://www.skillindiadigital.gov.in/courses/detail/5c106cbb-419e-4740-a785-31fbe6d93601,null,null,null,null,null,null,null,null,null,,null
14,Automotive,Auto Service Technician - Hindi,Free,02:26 hours,Any,Any,NA,Hindi,"This course has been developed jointly by ASDC and SkillsTrainer to build and upgrade the skills of auto service technicians (four wheelers) working at automobile dealerships. By the end of this course, you will be equipped with basic knowledge about the Indian automotive sector and acquire skills to be effective as a four wheeler service technician at automobile dealerships.",https://www.skillindiadigital.gov.in/courses/detail/af5527c4-1a5a-4dee-a8bf-d384b5a09a97,null,null,null,null,null,null,null,null,null,,null
15,Automotive,Welding Assistant (ARC) - Hindi,Free,04:32 hours,Any,Any,NA,Hindi,"The individual in this role supports the Automotive Welding Machine Operator during preparation for welding work such as bringing raw material and tools, welding activities such as machine setup, aligning workpiece, holding tools etc. and post-welding activities such as cleaning and maintenance of machine and workarea.",https://www.skillindiadigital.gov.in/courses/detail/e2609547-8da9-4a4f-bd11-3a139b9fab10,null,null,null,null,null,null,null,null,null,,null
